qid,pipeline,question,ground_truth_answer,generated_answer,context,retrieved_doc_contents,tool_used,latency_s,latency_cached_s
0,ablation_no_rerank,Cho tôi hỏi điểm trúng tuyển của ngành Sư phạm tiếng Anh (đào tạo bằng tiếng Việt) năm 2025 là bao nhiêu?,"Theo dữ liệu tuyển sinh, điểm trúng tuyển ngành Sư phạm tiếng Anh (đào tạo bằng tiếng Việt) năm 2025 là 29.57 điểm.","| ma_nganh | ten_nganh | diem | nam | khoa |
|---|---|---:|---:|---|
| 7140231V | Sư phạm tiếng Anh (đào tạo bằng tiếng Việt) | 29.57 | 2025 | KHOA NGOẠI NGỮ |","[""   ma_nganh                                    ten_nganh   diem   nam            khoa\n0  7140231V  Sư phạm tiếng Anh (đào tạo bằng tiếng Việt)  29.57  2025  KHOA NGOẠI NGỮ""]",[],text2sql,16.072,0.311
1,ablation_no_rerank,Điểm chuẩn ngành Công nghệ Kỹ thuật ô tô (đào tạo bằng tiếng Việt) năm 2025 được quy định là bao nhiêu?,"Theo nguồn tin, điểm chuẩn của ngành Công nghệ Kỹ thuật ô tô (đào tạo bằng tiếng Việt) năm 2025 là 25.65 điểm.","| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7510205V | Công nghệ Kỹ thuật ô tô (đào tạo bằng tiếng Việt) | 2025 | 25.65 | KHOA CƠ KHÍ ĐỘNG LỰC |","[""    ma_nganh                                                   ten_nganh   nam   diem                  khoa\n0   7510205A            Công nghệ Kỹ thuật ô tô (đào tạo bằng tiếng Anh)  2025  24.15  KHOA CƠ KHÍ ĐỘNG LỰC\n1  7510205BP  Công nghệ Kỹ thuật ô tô (đào tạo tại phân hiệu Bình Phước)  2025  23.60  KHOA CƠ KHÍ ĐỘNG LỰC\n2   7510205N           Công nghệ Kỹ thuật ô tô (đào tạo bằng tiếng Nhật)  2025  23.55  KHOA CƠ KHÍ ĐỘNG LỰC\n3   7510205V           Công nghệ Kỹ thuật ô tô (đào tạo bằng tiếng Việt)  2025  25.65  KHOA CƠ KHÍ ĐỘNG LỰC""]",[],text2sql,15.231,0.208
2,ablation_no_rerank,"Năm 2024, ngành Công nghệ thông tin (CTĐT Tiếng Việt) lấy bao nhiêu điểm?","Trong năm 2024, điểm trúng tuyển của ngành Công nghệ thông tin (CTĐT Tiếng Việt) là 25.97 điểm.","| ma_nganh | ten_nganh | diem | khoa |
|---|---|---:|---|
| 7480201V | Công nghệ thông tin (CTĐT Tiếng Việt) | 25.97 | KHOA CÔNG NGHỆ THÔNG TIN |","[""   ma_nganh                               ten_nganh   diem                      khoa\n0  7480201V   Công nghệ thông tin (CTĐT Tiếng Việt)  25.97  KHOA CÔNG NGHỆ THÔNG TIN\n1  7480201A    Công nghệ thông tin (CTĐT Tiếng Anh)  25.65  KHOA CÔNG NGHỆ THÔNG TIN\n2  7480201N  Công nghệ thông tin (CTĐT Việt - Nhật)  25.65  KHOA CÔNG NGHỆ THÔNG TIN""]",[],text2sql,13.422,0.222
3,ablation_no_rerank,Xin cho biết điểm chuẩn ngành Robot và trí tuệ nhân tạo (đào tạo bằng tiếng Việt) năm 2025?,Điểm trúng tuyển vào ngành Robot và trí tuệ nhân tạo (đào tạo bằng tiếng Việt) trong năm 2025 là 27.5 điểm.,"| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7510209V | Robot và trí tuệ nhân tạo (đào tạo bằng tiếng Việt) | 2025 | 27.5 | KHOA CƠ KHÍ CHẾ TẠO MÁY |","[""   ma_nganh                                            ten_nganh   nam  diem                     khoa\n0  7510209V  Robot và trí tuệ nhân tạo (đào tạo bằng tiếng Việt)  2025  27.5  KHOA CƠ KHÍ CHẾ TẠO MÁY""]",[],text2sql,18.012,0.216
4,ablation_no_rerank,Ngành Thương mại điện tử (đào tạo bằng tiếng Việt) năm 2025 có mức điểm chuẩn là bao nhiêu?,"Theo dữ liệu, mức điểm trúng tuyển của ngành Thương mại điện tử (đào tạo bằng tiếng Việt) năm 2025 là 25.7 điểm.","| Ngành | Điểm chuẩn 2025 |
|---|---:|
| Thương mại điện tử (đào tạo bằng tiếng Việt) | 25.7 |","[""   diem\n0  25.7""]",[],text2sql,11.545,0.208
5,ablation_no_rerank,Tôi muốn biết điểm chuẩn năm 2023 của ngành Logistics và quản lý chuỗi cung ứng (CTĐT Tiếng Việt)?,Điểm trúng tuyển ngành Logistic và quản lý chuỗi cung ứng (CTĐT Tiếng Việt) vào năm 2023 là 25.75 điểm.,Không có đủ thông tin để trả lời.,"[""Empty DataFrame\nColumns: [ma_nganh, ten_nganh, diem, khoa]\nIndex: []""]",[],text2sql,12.066,0.219
6,ablation_no_rerank,Ngành Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Việt) năm 2025 lấy bao nhiêu điểm?,"Theo bảng điểm chuẩn, ngành Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Việt) năm 2025 lấy 28.7 điểm.","| Ngành | Năm | Điểm |
|---|---:|---:|
| Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Việt) | 2025 | 28.70 |","[""    ma_nganh                                                                        ten_nganh   diem                 khoa   nam\n0   7510303A            Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Anh)  25.75  KHOA ĐIỆN - ĐIỆN TỬ  2025\n1  7510303BP  Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo tại phân hiệu Bình Phước)  25.45  KHOA ĐIỆN - ĐIỆN TỬ  2025\n2   7510303V           Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Việt)  28.70  KHOA ĐIỆN - ĐIỆN TỬ  2025""]",[],text2sql,13.244,0.223
7,ablation_no_rerank,Cho mình xin thông tin điểm chuẩn ngành Thiết kế đồ họa (CTĐT Tiếng Việt) năm 2024?,Điểm trúng tuyển của ngành Thiết kế đồ họa (CTĐT Tiếng Việt) trong kỳ tuyển sinh năm 2024 là 26.5 điểm.,"| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7210403V | Thiết kế đồ họa (CTĐT Tiếng Việt) | 2024 | 26.5 | KHOA IN VÀ TRUYỀN THÔNG |","[""   ma_nganh                          ten_nganh   nam  diem                     khoa\n0  7210403V  Thiết kế đồ họa (CTĐT Tiếng Việt)  2024  26.5  KHOA IN VÀ TRUYỀN THÔNG""]",[],text2sql,13.206,0.245
8,ablation_no_rerank,Ngành Kỹ thuật Thiết kế vi mạch (thuộc ngành CNKT Điện tử - viễn thông) (đào tạo bằng tiếng Việt) năm 2025 có điểm chuẩn là bao nhiêu?,Điểm trúng tuyển của chương trình đào tạo Kỹ thuật Thiết kế vi mạch năm 2025 là 28.65 điểm.,"| Tên ngành | Năm | Điểm |
|---|---:|---:|
| Chương trình đào tạo Kỹ thuật Thiết kế vi mạch (thuộc ngành CNKT Điện tử - viễn thông) (đào tạo bằng tiếng Việt) | 2025 | 28.65 |","[""      ma_nganh                                                                                                         ten_nganh   nam   diem                 khoa\n0  7510302KTVM  Chương trình đào tạo Kỹ thuật Thiết kế vi mạch (thuộc ngành CNKT Điện tử - viễn thông) (đào tạo bằng tiếng Việt)  2025  28.65  KHOA ĐIỆN - ĐIỆN TỬ""]",[],text2sql,14.889,0.339
9,ablation_no_rerank,Điểm chuẩn ngành Kinh doanh Quốc tế (đào tạo bằng tiếng Việt) năm 2025 là bao nhiêu?,"Theo thông tin từ nguồn dữ liệu, ngành Kinh doanh Quốc tế (đào tạo bằng tiếng Việt) năm 2025 có điểm chuẩn là 24.95 điểm.","| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7340120V | Kinh doanh Quốc tế (đào tạo bằng tiếng Việt) | 2025 | 24.95 | KHOA KINH TẾ |","[""   ma_nganh                                     ten_nganh   nam   diem          khoa\n0  7340120V  Kinh doanh Quốc tế (đào tạo bằng tiếng Việt)  2025  24.95  KHOA KINH TẾ""]",[],text2sql,16.104,0.215
