id,question,answer,relevant_doc_ids
1,Trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh (HCMUTE) là trường Đại học công lập hay trường tư?,"Trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh (HCMUTE) là một trường đại học công lập trực thuộc Bộ Giáo dục và Đào tạo, nổi bật với bề dày lịch sử 63 năm hình thành – phát triển vượt bậc và chất lượng đào tạo hàng đầu trong lĩnh vực kỹ thuật và công nghệ.",
2,Vị trí Trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh (HCMUTE) thuận lợi như thế nào cho sinh viên?,"Tọa lạc tại Thành phố Thủ Đức – khu vực cửa ngõ phía Đông Bắc TP. Hồ Chí Minh, trường có vị trí thuận lợi ngay trên Xa lộ Hà Nội, tuyến giao thông huyết mạch kết nối TP. Hồ Chí Minh với các tỉnh miền Đông Nam Bộ, miền Trung và miền Bắc. Với khoảng cách chỉ 12 km từ trung tâm thành phố, sinh viên có thể dễ dàng di chuyển bằng nhiều phương tiện như xe buýt, Metro hoặc phương tiện cá nhân, tạo điều kiện thuận lợi cho việc học tập và sinh hoạt. Bên cạnh đó, khu vực xung quanh trường cũng phát triển mạnh mẽ với nhiều tiện ích hiện đại, ký túc xá sinh viên, khu vực ăn uống và các dịch vụ hỗ trợ, giúp sinh viên có môi trường học tập và sinh hoạt lý tưởng.",
3,Ưu thế của trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh là gì?,"Một trong những điểm nổi bật trong chương trình đào tạo của Trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh là sinh viên tốt nghiệp không chỉ có nền tảng lý thuyết vững chắc mà còn sở hữu kỹ năng thực hành chuyên sâu. 
Trong suốt 4 đến 4,5 năm học, sinh viên dành nhiều thời gian thực hành tại các phòng thí nghiệm và xưởng thực tập, giúp họ phát triển tay nghề một cách bài bản. Đặc biệt, sinh viên HCMUTE không chỉ giỏi chuyên môn mà còn có kỹ năng sư phạm tốt, vừa có thể thực hiện các công việc chuyên môn, vừa thuyết trình và truyền đạt kiến thức một cách hiệu quả. Nhờ khả năng xử lý tình huống kỹ thuật – công nghệ nhanh nhạy và thành thạo, sinh viên tốt nghiệp từ HCMUTE luôn được các nhà tuyển dụng đánh giá cao, với mức độ hài lòng ở mức rất cao.",
4,Hãy nêu cho em biết 1 vài lý do để em mạnh dạn chọn HCMUTE để học đại học?,"Trường Công lập với bề dày lịch sử trên 60 năm, thương hiệu hàng đầu phía Nam. 

Tỷ lệ có việc làm đúng chuyên ngành đào tạo rất cao, trên 90%. Được các tập đoàn, doanh nghiệp hàng đầu ưu tiên tuyển dụng.

Chương trình đào tạo đạt chuẩn quốc tế và khu vực, các chương trình liên kết quốc tế, đáp ứng xu thế hội nhập và đào tạo công dân toàn cầu.

Đội ngũ giảng viên được đào tạo bài bản, trình độ cao, nhiều kinh nghiệm thực tiễn, tận tâm. CBVC phục vụ chuyên nghiệp, chu đáo.

Phòng học, phòng Lab/thực tập tiên tiến, đầy đủ, đa dạng; 100% được trang bị máy lạnh.

Đầy ắp các sân chơi học thuật, câu lạc bộ nghiên cứu khoa học, sáng tạo - khởi nghiệp.

Các hoạt động văn thể mỹ đa dạng, hấp dẫn giúp sinh viên phát triển toàn diện.

Với triết lý giáo dục Nhân Bản, Trường dành quỹ học bổng lớn hỗ trợ sinh viên. Không để sinh viên phải bỏ học vì không có tiền đóng học phí.

Khuôn viên Trường trên 17 hecta - xanh - sạch - đẹp; là nơi lý tưởng để sinh viên học tập, nghiên cứu và phát triển bản thân.

Vị trí Trường đắc địa: trung tâm Thành phố Thủ Đức, kế bên ga tàu Metro, sát bên Khu Công nghệ Cao Tp. HCM, cộng đồng dân cư bên ngoài trường sạch đẹp, dân trí cao.",
5,HCMUTE có những ngành đào tạo nào trong năm 2025?,"Năm 2025, Trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh (HCMUTE) tiếp tục đào tạo 45 ngành đào tạo truyền thống đồng thời mở thêm 7 ngành đào tạo mới bật đại học. Tất cả bao gồm:
**1. Khoa Điện Điện tử quản lý và đào tạo 07 ngành:**
Công nghệ Kỹ thuật điện, điện tử 

Công nghệ Kỹ thuật điện tử - viễn thông

Công nghệ Kỹ thuật máy tính

Công nghệ Kỹ thuật điều khiển và tự động hóa

Kỹ thuật y sinh (Điện tử y sinh) 

Hệ thống nhúng và IoT

Chương trình đào tạo Kỹ thuật Thiết kế vi mạch (Thuộc ngành Điện tử - Viễn thông)

**2. Khoa Cơ khí chế tạo máy quản lý và đào tạo 07 ngành:**
Robot và trí tuệ nhân tạo 

Công nghệ chế tạo máy *

Công nghệ Kỹ thuật cơ điện tử *

Công nghệ Kỹ thuật cơ khí *

Kỹ thuật công nghiệp 

Kỹ nghệ gỗ và nội thất
Cơ khí tự động hóa

**3. Khoa Xây dựng quản lý và đào tạo 07 ngành:**
Công nghệ Kỹ thuật công trình xây dựng*

Kỹ thuật xây dựng công trình giao thông *

Quản lý xây dựng 

Hệ thống kỹ thuật công trình xây dựng 

Quản lý và vận hành hạ tầng

Kiến trúc

Kiến trúc nội thất

**4. Khoa Cơ khí động lực quản lý và đào tạo 03 ngành:**
Công nghệ Kỹ thuật ô tô *

Công nghệ Kỹ thuật nhiệt 

Năng lượng tái tạo

**5. Khoa Công nghệ thông tin quản lý và đào tạo 03 ngành:**
Công nghệ thông tin

An toàn thông tin

Kỹ thuật dữ liệu

**6. Khoa Kinh tế quản lý và đào tạo 07 ngành:**
Quản lý công nghiệp

Kế toán

Thương mại điện tử

Logistics và quản lý chuỗi cung ứng

Kinh doanh Quốc tế

(Mới) Công nghệ tài chính

(Mới) Quản trị kinh doanh (định hướng Kinh doanh số)

**7. Khoa In và truyền thông quản lý và đào tạo 03 ngành:**
Công nghệ Kỹ thuật in

Thiết kế đồ họa

(Mới) Công nghệ truyền thông (Truyền thông số và Công nghệ đa phương tiện)

**8. Viện Sư phạm Kỹ thuật quản lý và đào tạo 02 ngành:**
Sư phạm công nghệ

Tâm lý học giáo dục

**9. Khoa Thời trang và du lịch quản lý và đào tạo 03 ngành:**
Công nghệ may

Quản trị NH và DV ăn uống

Thiết kế thời trang

**10. Khoa Chính trị và Luật quản lý và đào tạo 01 ngành:**
Luật 

**11. Khoa Khoa học ứng dụng quản lý và đào tạo 02 ngành:**
Công nghệ vật liệu

(Mới) Vật lý kỹ thuật (định hướng công nghệ bán dẫn và cảm biến, đo lường)

**12. Khoa Công nghệ hóa học và thực phẩm quản lý và đào tạo 05 ngành:**
Công nghệ Kỹ thuật môi trường

Công nghệ thực phẩm

Công nghệ Kỹ thuật hóa học

(Mới) Dinh dưỡng & Khoa học thực phẩm

(Mới) Quản lý tài nguyên & môi trường (chuyên ngành Môi trường & Phát triển bền vững)

**13. Khoa Ngoại ngữ quản lý và đào tạo 02 ngành:**
Sư phạm tiếng Anh

Ngôn ngữ Anh

**14. Khoa Đào tạo Quốc tế quản lý và đào tạo xx chương trình đào tạo bằng tiếng anh và Chương trình liên kết và hợp tác đào tạo quốc tế.**",
6,Trường có những phương thức xét tuyển nào?,"Năm 2025, Trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh (HCMUTE) xét tuyển theo lịch chung của Bộ GD&ĐT 
Có 4 phương thức xét tuyển sau: 
+ Phương thức 1: Xét tuyển thẳng theo quy định của Bộ Giáo dục và Đào tạo và ưu tiên xét tuyển theo Đề án tuyển sinh của Trường: Chỉ tiêu không quá 10% tổng chỉ tiêu chung. 
+ Phương thức 2: Xét tuyển theo kết quả thi Trung học phổ thông. 
+ Phương thức 3: Xét tuyển theo kết quả học tập THPT (học bạ). 
+ Phương thức 4: Sử dụng kết quả thi Đánh giá năng lực của ĐH Quốc gia TP. Hồ Chí Minh. 
* Trường Tổ chức thi các môn năng khiếu vào ngày 09 - 10/6/2025 để xét tuyển vào 4 ngành: Thiết kế thời trang; Thiết kế đồ họa; Kiến trúc; Kiến trúc nội thất. Nhận hồ sơ đăng ký thi môn năng khiếu từ ngày 27/4 – 27/5/2025 tại https://xettuyen.hcmute.edu.vn
",
7,Điểm chuẩn năm ngoái của các ngành là bao nhiêu?,"Điểm chuẩn các phương thức xét tuyển sớm năm 2024: https://tuyensinh.hcmute.edu.vn/#/dh-chinh-quy/thong-tin-tuyen-sinh-dh-chinh-quy/Quyet-dinh-ve-viec-cong-bo-diem-chuan-trung-tuyen-co-dieu-kien-dai-hoc-chinh-quy-cua-truong-nam-2024-dien-tuyen-thang-uu-tien-xet-tuyen-xet-theo-hoc-ba-THPT-diem-SAT-va-diem-danh-gia-nang-luc----1719752052225#top

Điểm chuẩn phương thức xét kết quả thi THPT năm 2024: https://tuyensinh.hcmute.edu.vn/#/dh-chinh-quy/thong-tin-tuyen-sinh-dh-chinh-quy/DIEM-CHUAN-HCMUTE-NAM-2024-THEO-KET-QUA-THI-THPT-VA-DIEM-NANG-KHIEU-1723973733720#top",
8,Trường có ngành nào mới tuyển sinh trong năm 2025 không?,"Năm 2025, Trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh (HCMUTE) xét tuyển 07 ngành mới bao gồm: 
1. Khoa Kinh tế 
(Mới) Công nghệ tài chính

(Mới) Quản trị kinh doanh (định hướng Kinh doanh số)

2. Khoa In và truyền thông 
(Mới) Công nghệ truyền thông (Truyền thông số và Công nghệ đa phương tiện)

3. Khoa Khoa học ứng dụng 
(Mới) Vật lý kỹ thuật (định hướng công nghệ bán dẫn và cảm biến, đo lường)

4. Khoa Công nghệ hóa học và thực phẩm
(Mới) Dinh dưỡng & Khoa học thực phẩm

(Mới) Quản lý tài nguyên & môi trường (chuyên ngành Môi trường & Phát triển bền vững)
5. Khoa Cơ khí chế tạo máy
(Mới) Cơ khí tự động hóa",
9,Cách tính điểm xét tuyển theo từng phương thức như thế nào?,"
### **2.3.2. Phương thức xét tuyển theo kết quả thi Trung học phổ thông (Mã: 100)**

* **Điểm xét tuyển (DXTTHPT)** là tổng điểm đạt được lớn nhất theo tổ hợp từ kỳ thi tốt nghiệp THPT (ký hiệu: `DTHPT`) cộng với điểm ưu tiên (`DUT`):

$$
\text{DXTTHPT} = \max(DTHPT) + DUT \tag{1}
$$

* **Cách tính điểm ưu tiên (DUT):**

$$
\text{ DUT} = \left(\frac{30 - DXTTHPT}{7.5}\right) \times MBUT \tag{2}
$$

* Công thức này **chỉ áp dụng cho thí sinh đạt DXTTHPT từ 22.5 trở lên**.
* Nếu tổng điểm dưới 22.5, thì **DUT bằng mức điểm ưu tiên MBUT**.
* `MBUT` là tổng mức ưu tiên theo **đối tượng, khu vực** quy định bởi Bộ GD&ĐT.

* **Tính `DTHPT` – điểm thi THPT theo tổ hợp:**

* Lấy điểm cao nhất trong các tổ hợp xét tuyển.
* Cách quy đổi:

$$
\text{DTHPT} = \left( \frac{M_1 \times 2 + M_2 + M_3}{4} \right) \times 3 \tag{3}
$$

* Trong đó:

* `M1`: môn chính nhân hệ số 2
* `M2`, `M3`: các môn còn lại không nhân hệ số


### **2.3.3. Phương thức xét tuyển theo kết quả học tập THPT (học bạ – Mã: 200)**

* **Tính điểm trung bình môn `TBM`:**

$$
\text{TBM_i }= \frac{\sum \text{điểm từng học kỳ}}{\text{số học kỳ}} \tag{4}
$$

* **Tính điểm học bạ theo tổ hợp xét tuyển `DHB`:**

$$
\text{DHB} = \left( \frac{TBM_1 \times 2 + TBM_2 + TBM_3}{4} \right) \times 3 \tag{5}
$$

* Với \text{TBM_1} là môn chính nhân hệ số 2.

* **Lưu ý:**

* Với ngành có xét điểm thi năng khiếu, thì \text{TBM_1} là **điểm thi năng khiếu**.

* **Tính điểm học bạ cao nhất `DHB_max`:**

$$
\text{DHB_{max} }= \max(DHB) + DCT \tag{6}
$$

* \text{DCT}: điểm cộng của Trường

* **Điểm xét tuyển theo học bạ `DXTHB`:**

$$
\text{DXTHB} = DHB + DUT \tag{7}
$$

---

Lưu ý ĐUT thực hiện theo công thức (2) nếu điểm ĐHB max ≥22,5

+ Ngoài các điểm ưu tiên theo quy định của Bộ GD&ĐT, thí sinh được cộng thêm các điểm thưởng của Trường (ĐCT) cụ thể theo bảng 3. ĐCT được căn cứ theo các yếu tố sau:
- Trường THPT có điểm tuyển sinh lớp 10 cao của các tỉnh/thành; 
- Trường THPT có lượng SV nhập học cao tại Trường qua các năm;
- Trường THPT thuộc khu vực Đông Nam Bộ;
- Nhóm trường THPT ưu tiên tuyển sinh học tại phân hiệu Bình Phước: tất cả các trường THPT tại Bình Phước, trường thuộc các tỉnh Tây Ninh, Bình Dương, Đắk Nông lân cận phân hiệu tại Tp. Đồng Xoài - Bình Phước; một số trường THPT thuộc các Tỉnh Đắk Lắk, Lâm Đồng, Gia Lai.

---

## **2.3.4. Phương thức xét tuyển theo kết quả kỳ thi Đánh giá năng lực (Mã: 402)**

### **a) Đối với các chương trình đào tạo không yêu cầu môn năng khiếu**

* **Bước 1:** Quy đổi điểm đánh giá năng lực (`ĐNL`) về thang điểm 30:

$$
\text{ĐNLQĐ} = \text{ĐNL40} \tag{9}
$$

* Trong đó, `ĐNL40` là điểm bài thi đánh giá năng lực theo thang 40, quy đổi trực tiếp về thang 30.

* **Bước 2:** Tính **điểm xét tuyển đánh giá năng lực**:

$$
\text{ĐXTNL} = \text{ĐNLQĐ} + \text{ĐUT} \tag{10}
$$

* **Lưu ý:**

* Nếu **ĐNLQĐ ≥ 22.5**, áp dụng công thức cộng điểm ưu tiên như sau:

$$
\text{ĐUT} = \left( \frac{30 - \text{ĐNLQĐ}}{7.5} \right) \times \text{MBUT} \tag{2}
$$

* Nếu ĐNLQĐ < 22.5 thì **ĐUT = MBUT**.

---

### **b) Đối với các ngành yêu cầu môn năng khiếu**

(Gồm các ngành: *Thiết kế thời trang*, *Thiết kế đồ họa*, *Kiến trúc*, *Kiến trúc nội thất*)

* **Nguyên tắc tính điểm:**

* Điểm đánh giá năng lực (\text{ĐNL}) được quy đổi về thang 30 như công thức (9).

* Do nhóm ngành này có **môn năng khiếu (Vẽ)** là **môn chính (hệ số 2)**, nên điểm đánh giá năng lực (`ĐNLQĐ`) đóng vai trò tương đương **hai môn phụ**, được tính như sau:

$$
\text{ĐNLQĐ\_NK} = \frac{\text{ĐNLQĐ} \times 2 + \text{Điểm Vẽ}}{3} \tag{11}
$$

* Trong đó:

* **Điểm Vẽ** là điểm thi môn năng khiếu:

* *Vẽ trang trí màu* (đối với ngành Thiết kế thời trang, Thiết kế đồ họa)
* *Vẽ đầu tượng* (đối với ngành Kiến trúc, Kiến trúc nội thất)

* **Tính điểm xét tuyển:**

$$
\text{ĐXTNL\_NK} = \text{ĐNLQĐ\_NK} + \text{ĐUT} \tag{12}
$$

* **ĐUT** được tính theo công thức (2) nếu **ĐNLQĐ\_NK ≥ 22.5**, ngược lại lấy nguyên giá trị `MBUT`.


Bạn có thể đăng ký xét tuyển học bạ dựa trên điểm trung bình các môn theo tổ hợp của ngành mà bạn quan tâm.
Nếu cần thêm thông tin chi tiết hoặc hướng dẫn đăng ký, bạn có thể truy cập website tuyển sinh của trường tại:
🔗 [http://tuyensinh.hcmute.edu.vn](http://tuyensinh.hcmute.edu.vn)

Chúc bạn thành công! Nếu cần hỗ trợ thêm, vui lòng liên hệ nhé! 🌟

",
10,Có ngành nào đào tạo bằng tiếng Anh không?,"Năm 2025, trường Đại học Sư phạm kỹ thuật TP.HCM có đào tạo chương trình tiếng Anh đối với 17 ngành, bao gồm:
Khoa Điện - Điện tử

Công nghệ Kỹ thuật điện, điện tử 

Công nghệ Kỹ thuật điện tử - viễn thông

Công nghệ Kỹ thuật máy tính

Công nghệ Kỹ thuật điều khiển và tự động hóa

Kỹ thuật y sinh (Điện tử y sinh) 

Khoa cơ khí chế tạo máy

Công nghệ chế tạo máy 

Công nghệ Kỹ thuật cơ điện tử 

Công nghệ Kỹ thuật cơ khí 

Khoa Xây dựng

Công nghệ Kỹ thuật công trình xây dựng

Khoa Cơ khí động lực

Công nghệ Kỹ thuật ô tô 

Công nghệ Kỹ thuật nhiệt 

Khoa Công nghệ thông tin

Công nghệ thông tin

Khoa Kinh tế

Quản lý công nghiệp

Kế toán

Khoa Khoa học ứng dụng

Công nghệ vật liệu

Khoa Công nghệ hóa học và thực phẩm

Công nghệ thực phẩm

Công nghệ Kỹ thuật hóa học",
