question,answer
Trường mình tên đầy đủ là gì vậy ạ?,Tên đầy đủ của trường mình là Trường Đại học Sư phạm Kỹ thuật TP.HCM.
Địa chỉ chính xác của trường ở đâu thế ạ?,"Trường tọa lạc tại số 01, Võ Văn Ngân, Phường Linh Chiểu, TP. Thủ Đức, TP. Hồ Chí Minh."
Trường được thành lập vào ngày nào vậy ạ?,Trường chúng ta chính thức được thành lập vào ngày 05/10/1962.
Tiền thân của trường mình là đơn vị nào?,Tiền thân của trường mình chính là Ban Cao đẳng Sư phạm Kỹ thuật.
Giá trị cốt lõi của trường gồm những gì ạ?,"Các giá trị cốt lõi của trường bao gồm Nhân bản, Sáng tạo, Hội nhập, Chia sẻ và Chất lượng."
Sứ mệnh của trường mình là gì thế ạ?,"Sứ mệnh của trường là cung cấp nguồn nhân lực chất lượng cao, đóng góp tri thức hữu ích và phục vụ cho cộng đồng."
Tầm nhìn của trường là gì vậy ạ?,Tầm nhìn của trường là trở thành trường đại học định hướng ứng dụng hàng đầu tại Việt Nam.
Văn hóa chất lượng của trường được định nghĩa thế nào?,"Trường định nghĩa văn hóa chất lượng là không ngừng nâng cao chất lượng dạy, học và nghiên cứu khoa học để mang lại điều kiện tốt nhất cho người học."
Trường mình đã từng nhận Huân chương Độc lập chưa ạ?,Trường đã từng nhận Huân chương Độc lập hạng Nhì vào năm 2012 và hạng Ba vào năm 2007.
Sinh viên có nhiệm vụ gì đối với tài sản của trường?,"Sinh viên có nhiệm vụ giữ gìn, bảo vệ tài sản và thực hiện các hành động góp phần xây dựng truyền thống của trường."
Em có cần phải khám sức khỏe đầu khóa không?,"Có, sinh viên bắt buộc phải thực hiện đầy đủ các quy định về khám sức khỏe đầu khóa cũng như khám sức khỏe định kỳ."
Sinh viên có bắt buộc phải đóng bảo hiểm y tế không?,Sinh viên có nhiệm vụ đóng bảo hiểm y tế và học phí một cách đầy đủ và đúng thời hạn quy định.
Em có được tham gia các hoạt động tình nguyện không?,Nhà trường luôn khuyến khích sinh viên tham gia các hoạt động tình nguyện và hoạt động xã hội vì cộng đồng.
Nếu em nhận học bổng do Nhà nước cấp thì có cam kết gì không?,"Sinh viên nhận học bổng Nhà nước phải cam kết chấp hành nghĩa vụ làm việc có thời hạn theo sự điều động, nếu không sẽ phải bồi hoàn kinh phí."
Sinh viên có quyền đề đạt nguyện vọng lên ai?,Sinh viên có quyền đề đạt các nguyện vọng cũng như khiếu nại của mình trực tiếp lên Ban Giám hiệu.
Em có được sử dụng các phòng thí nghiệm để nghiên cứu không?,Sinh viên được phép sử dụng thư viện cùng các trang thiết bị và đồ dùng để phục vụ cho việc học tập và nghiên cứu.
Sinh viên có quyền được chăm sóc sức khỏe không ạ?,Sinh viên được chăm sóc và bảo vệ sức khỏe dựa theo các quy định hiện hành của Nhà nước.
Em có được dự tuyển đi học ở nước ngoài không?,"Sinh viên hoàn toàn có quyền đăng ký dự tuyển để đi học, giao lưu hoặc trao đổi tại nước ngoài."
Những hành vi nào sinh viên không được làm trong giờ học?,"Trong giờ học, sinh viên tuyệt đối không được hút thuốc hoặc uống các loại rượu, bia."
Sinh viên có được gian lận trong thi cử không ạ?,Tuyệt đối không được gian lận vì đây là hành vi bị nghiêm cấm trong thi cử.
Em có được xúc phạm nhân phẩm giảng viên không?,"Không, vì hành vi xúc phạm nhân phẩm giảng viên là vi phạm kỷ luật ở mức độ nghiêm trọng."
Sinh viên có được tự ý gây rối an ninh trật tự công cộng không?,Sinh viên không được phép gây rối an ninh trật tự trong khuôn viên trường hay tại các nơi công cộng.
Cấu trúc chương trình đào tạo hiện tại áp dụng từ năm nào?,Cấu trúc chương trình đào tạo hiện tại bắt đầu được áp dụng từ khóa tuyển sinh năm 2019.
Khối kiến thức giáo dục đại cương nhằm mục đích gì?,"Mục đích của khối kiến thức giáo dục đại cương là trang bị nền học vấn rộng, thế giới quan khoa học, hiểu biết về tự nhiên xã hội và phương pháp tư duy."
Học hệ kỹ sư thì cần tích lũy bao nhiêu tín chỉ?,"Để hoàn thành hệ kỹ sư, sinh viên cần phải tích lũy tối thiểu là 150 tín chỉ."
Học hệ cử nhân kinh tế thì cần bao nhiêu tín chỉ?,Sinh viên theo học hệ cử nhân kinh tế cần tích lũy tối thiểu là 125 tín chỉ.
Thời gian đào tạo thiết kế của hệ cử nhân là bao lâu?,"Thời gian đào tạo theo thiết kế của hệ cử nhân là 4,0 năm."
Thời gian hoàn thành tối đa của hệ kỹ sư là mấy năm ạ?,"Thời gian tối đa để sinh viên hoàn thành chương trình hệ kỹ sư là 8,0 năm."
Hệ kiến trúc sư học trong bao nhiêu năm thì xong?,"Hệ kiến trúc sư có thời gian đào tạo thiết kế là 4,5 năm và thời gian hoàn thành tối đa là 9,0 năm."
Văn bằng 2 chính quy học trong bao lâu ạ?,"Văn bằng 2 chính quy có thời gian thiết kế là 2,5 năm và tối đa là 5,0 năm."
Học phần là gì vậy ạ?,Học phần là một khối lượng kiến thức tương đối trọn vẹn để sinh viên có thể thuận tiện tích lũy.
Một học phần thường có bao nhiêu tín chỉ?,Phần lớn các học phần thường có khối lượng từ 2 đến 4 tín chỉ.
Đề cương chi tiết học phần gồm những gì?,"Đề cương chi tiết học phần bao gồm tóm tắt học phần, học phần tiên quyết, chuẩn đầu ra, nội dung chính và cách thức đánh giá."
Giảng viên thông báo quy định học phần khi nào?,Giảng viên sẽ thông báo các quy định của học phần trong những buổi học đầu tiên và công bố trên hệ thống trực tuyến.
Học phần bắt buộc là gì ạ?,Học phần bắt buộc là những học phần chứa kiến thức chính yếu mà sinh viên buộc phải tích lũy để được xét tốt nghiệp.
Học phần tự chọn là gì thế ạ?,Học phần tự chọn là loại học phần mà sinh viên có thể tự do lựa chọn đăng ký học theo định hướng nghề nghiệp cá nhân.
Học phần điều kiện có tính vào điểm trung bình không?,"Không, kết quả của các học phần điều kiện không được sử dụng để tính điểm trung bình tích lũy."
Học phần tiên quyết nghĩa là sao ạ?,Nghĩa là sinh viên phải học và đạt được học phần A thì mới đủ điều kiện đăng ký học học phần B.
Thế nào là học phần trước?,Học phần trước yêu cầu sinh viên phải học xong học phần A và có điểm tổng kết khác không thì mới được học học phần B.
Học phần song hành yêu cầu gì ạ?,Sinh viên phải đăng ký học học phần A trong cùng một học kỳ với học phần B để đáp ứng yêu cầu học phần song hành.
Học phần tương đương là gì ạ?,Học phần tương đương là học phần trong ngành này có thể tích lũy để thay thế cho học phần của một ngành khác.
Khi nào thì dùng học phần thay thế?,Học phần thay thế được sử dụng khi học phần cũ không còn được tổ chức giảng dạy nữa.
Một tín chỉ lý thuyết tương đương bao nhiêu giờ chuẩn bị cá nhân?,Một tín chỉ lý thuyết tương đương với ít nhất 30 giờ chuẩn bị cá nhân của sinh viên.
Một năm học thường có mấy học kỳ ạ?,Một năm học thường bao gồm 2 học kỳ chính thức và 1 học kỳ phụ.
Học kỳ phụ thường dùng để dạy môn gì?,"Học kỳ phụ thường được dành để dạy các môn như Giáo dục quốc phòng 3, 4 hoặc các lớp học phần đặc biệt khác."
Tiết học đầu tiên buổi sáng bắt đầu lúc mấy giờ ạ?,Tiết học đầu tiên của buổi sáng sẽ bắt đầu vào lúc 07g30.
Tiết 6 kết thúc lúc mấy giờ thế ạ?,Tiết học thứ 6 sẽ kết thúc vào lúc 12g15.
Buổi chiều bắt đầu từ tiết mấy và mấy giờ ạ?,Buổi chiều sẽ bắt đầu từ tiết thứ 7 vào lúc 12g45.
Thông báo đăng ký môn học được công bố khi nào?,Thông báo về việc đăng ký môn học sẽ được công bố chậm nhất là 1 tuần trước khi bắt đầu đăng ký.
Thời gian đăng ký học phần thường diễn ra trong bao lâu?,Thời gian đăng ký học phần thường sẽ diễn ra trong vòng 1 tuần.
