question,ground_truth_answer,complexity
Điểm chuẩn ngành nào cao nhất năm 2025 vậy ạ?,Điểm chuẩn cao nhất năm 2025 là Sư phạm tiếng Anh (đào tạo bằng tiếng Việt) với 29.57.,hard
Ngành Robot và trí tuệ nhân tạo năm 2025 điểm là bao nhiêu?,Điểm ngành Robot và trí tuệ nhân tạo (đào tạo bằng tiếng Việt) năm 2025 là 27.5.,easy
Năm 2022 khoa Cơ khí chế tạo máy có những ngành nào và điểm chuẩn là bao nhiêu?,"Các ngành và điểm chuẩn năm 2022 tại Khoa Cơ khí chế tạo máy: 
- Robot và trí tuệ nhân tạo: 26.00
- Công nghệ chế tạo máy (Tiếng Việt): 23.00
- Công nghệ chế tạo máy (Tiếng Anh): 21.30
- Công nghệ chế tạo máy (Việt - Nhật): 19.05
- Công nghệ kỹ thuật cơ điện tử (Tiếng Việt): 23.75
- Công nghệ kỹ thuật cơ điện tử (Tiếng Anh): 22.10
- Công nghệ kỹ thuật cơ khí (Tiếng Việt): 26.15
- Công nghệ kỹ thuật cơ khí (Tiếng Anh): 22.00
- Kỹ thuật công nghiệp: 17.00
- Kỹ nghệ gỗ và nội thất: 17.00.",medium
Công nghệ kỹ thuật hóa học năm 2024 điểm chuẩn là bao nhiêu?,Điểm ngành Công nghệ kỹ thuật hóa học (đào tạo bằng tiếng Việt) năm 2024 là 24.9.,easy
Điểm chuẩn Công nghệ chế tạo máy (đào tạo bằng tiếng Anh) năm 2022 là bao nhiêu ạ?,Điểm ngành Công nghệ chế tạo máy (đào tạo bằng tiếng Anh) năm 2022 là 21.3.,easy
Những ngành nào có điểm từ 22 trở lên năm 2024 ạ?,"Các ngành năm 2024 có điểm từ 22 trở lên: 
- Sư phạm tiếng Anh: 27.50
- Thiết kế đồ họa: 26.50
- Công nghệ kỹ thuật điều khiển và tự động hóa: 26.14
- Công nghệ thông tin (Tiếng Việt): 25.97
- Kỹ thuật Thiết kế vi mạch: 25.95
- Robot và trí tuệ nhân tạo: 25.66
- Công nghệ thông tin (Tiếng Anh): 25.65
- Công nghệ thông tin (Việt - Nhật): 25.65
- Hệ thống nhúng và IoT: 25.65
- Công nghệ kỹ thuật máy tính: 25.50.",hard
Năm 2022 có những ngành nào điểm từ 20 trở lên vậy ạ?,"Các ngành năm 2022 có điểm từ 20 trở lên: 
- Công nghệ thông tin (Tiếng Việt): 26.75
- Công nghệ thông tin (Tiếng Anh): 26.35
- Công nghệ kỹ thuật cơ khí: 26.15
- Kỹ thuật dữ liệu: 26.10
- Sư phạm tiếng Anh: 26.08
- Thương mại điện tử: 26.00
- An toàn Thông tin: 26.00
- Robot và trí tuệ nhân tạo: 26.00
- Công nghệ kỹ thuật máy tính: 25.75
- Công nghệ kỹ thuật điều khiển và tự động hóa: 25.70.",hard
Công nghệ thông tin (đào tạo bằng tiếng Nhật) năm 2025 điểm là bao nhiêu?,Điểm ngành Công nghệ thông tin (đào tạo bằng tiếng Nhật) năm 2025 là 24.55.,easy
Những ngành nào có điểm từ 24 trở lên năm 2022 vậy ạ?,"Các ngành năm 2022 có điểm từ 24 trở lên: 
- Công nghệ thông tin (Tiếng Việt): 26.75
- Công nghệ thông tin (Tiếng Anh): 26.35
- Công nghệ kỹ thuật cơ khí: 26.15
- Kỹ thuật dữ liệu: 26.10
- Sư phạm tiếng Anh: 26.08
- Thương mại điện tử: 26.00
- Robot và trí tuệ nhân tạo: 26.00
- An toàn Thông tin: 26.00
- Công nghệ kỹ thuật máy tính: 25.75
- Công nghệ kỹ thuật điều khiển và tự động hóa: 25.70.",hard
Kỹ thuật y sinh (Điện tử y sinh) năm 2025 điểm là bao nhiêu ạ?,Điểm ngành Kỹ thuật y sinh (Điện tử y sinh) (đào tạo bằng tiếng Anh) năm 2025 là 22.15.,easy
