qid,pipeline,question,ground_truth_answer,generated_answer,context,retrieved_doc_contents,tool_used,latency_s,latency_cached_s,nv_accuracy,answer_relevancy
0,our_rag,Cho tôi hỏi điểm trúng tuyển của ngành Sư phạm tiếng Anh (đào tạo bằng tiếng Việt) năm 2025 là bao nhiêu?,"Theo dữ liệu tuyển sinh, điểm trúng tuyển ngành Sư phạm tiếng Anh (đào tạo bằng tiếng Việt) năm 2025 là 29.57 điểm.","| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7140231V | Sư phạm tiếng Anh (đào tạo bằng tiếng Việt) | 2025 | 29.57 | KHOA NGOẠI NGỮ |","[""   ma_nganh                                    ten_nganh   nam   diem            khoa\n0  7140231V  Sư phạm tiếng Anh (đào tạo bằng tiếng Việt)  2025  29.57  KHOA NGOẠI NGỮ""]",[],text2sql,16.231,0.208,1.0,0.8004027887293406
1,our_rag,Điểm chuẩn ngành Công nghệ Kỹ thuật ô tô (đào tạo bằng tiếng Việt) năm 2025 được quy định là bao nhiêu?,"Theo nguồn tin, điểm chuẩn của ngành Công nghệ Kỹ thuật ô tô (đào tạo bằng tiếng Việt) năm 2025 là 25.65 điểm.","| ten_nganh | nam | diem |
|---|---:|---:|
| Công nghệ Kỹ thuật ô tô (đào tạo bằng tiếng Việt) | 2025 | 25.65 |","[""    ma_nganh                                                   ten_nganh   nam   diem                  khoa\n0   7510205A            Công nghệ Kỹ thuật ô tô (đào tạo bằng tiếng Anh)  2025  24.15  KHOA CƠ KHÍ ĐỘNG LỰC\n1  7510205BP  Công nghệ Kỹ thuật ô tô (đào tạo tại phân hiệu Bình Phước)  2025  23.60  KHOA CƠ KHÍ ĐỘNG LỰC\n2   7510205N           Công nghệ Kỹ thuật ô tô (đào tạo bằng tiếng Nhật)  2025  23.55  KHOA CƠ KHÍ ĐỘNG LỰC\n3   7510205V           Công nghệ Kỹ thuật ô tô (đào tạo bằng tiếng Việt)  2025  25.65  KHOA CƠ KHÍ ĐỘNG LỰC""]",[],text2sql,15.955,0.202,1.0,0.8328441887789082
2,our_rag,"Năm 2024, ngành Công nghệ thông tin (CTĐT Tiếng Việt) lấy bao nhiêu điểm?","Trong năm 2024, điểm trúng tuyển của ngành Công nghệ thông tin (CTĐT Tiếng Việt) là 25.97 điểm.","| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7480201V | Công nghệ thông tin (CTĐT Tiếng Việt) | 2024 | 25.97 | KHOA CÔNG NGHỆ THÔNG TIN |","[""   ma_nganh                              ten_nganh   nam   diem                      khoa\n0  7480201V  Công nghệ thông tin (CTĐT Tiếng Việt)  2024  25.97  KHOA CÔNG NGHỆ THÔNG TIN""]",[],text2sql,16.423,0.329,1.0,0.8319776883041743
3,our_rag,Xin cho biết điểm chuẩn ngành Robot và trí tuệ nhân tạo (đào tạo bằng tiếng Việt) năm 2025?,Điểm trúng tuyển vào ngành Robot và trí tuệ nhân tạo (đào tạo bằng tiếng Việt) trong năm 2025 là 27.5 điểm.,"| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---|---|---|
| 7510209V | Robot và trí tuệ nhân tạo (đào tạo bằng tiếng Việt) | 2025 | 27.5 | KHOA CƠ KHÍ CHẾ TẠO MÁY |","[""   ma_nganh                                            ten_nganh   nam  diem                     khoa\n0  7510209V  Robot và trí tuệ nhân tạo (đào tạo bằng tiếng Việt)  2025  27.5  KHOA CƠ KHÍ CHẾ TẠO MÁY""]",[],text2sql,18.476,0.373,1.0,0.852271829347361
4,our_rag,Ngành Thương mại điện tử (đào tạo bằng tiếng Việt) năm 2025 có mức điểm chuẩn là bao nhiêu?,"Theo dữ liệu, mức điểm trúng tuyển của ngành Thương mại điện tử (đào tạo bằng tiếng Việt) năm 2025 là 25.7 điểm.","| ten_nganh | nam | diem |
|---|---:|---:|
| Thương mại điện tử (đào tạo bằng tiếng Việt) | 2025 | 25.7 |","[""    ma_nganh                                              ten_nganh   nam  diem          khoa\n0  7340122BP  Thương mại điện tử (đào tạo tại phân hiệu Bình Phước)  2025  24.7  KHOA KINH TẾ\n1   7340122V           Thương mại điện tử (đào tạo bằng tiếng Việt)  2025  25.7  KHOA KINH TẾ""]",[],text2sql,13.947,0.205,1.0,0.816559017796855
5,our_rag,Tôi muốn biết điểm chuẩn năm 2023 của ngành Logistics và quản lý chuỗi cung ứng (CTĐT Tiếng Việt)?,Điểm trúng tuyển ngành Logistic và quản lý chuỗi cung ứng (CTĐT Tiếng Việt) vào năm 2023 là 25.75 điểm.,Không có đủ thông tin để trả lời.,"[""Empty DataFrame\nColumns: [ma_nganh, ten_nganh, diem, nam, khoa]\nIndex: []""]",[],text2sql,14.847,0.201,0.0,0.0
6,our_rag,Ngành Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Việt) năm 2025 lấy bao nhiêu điểm?,"Theo bảng điểm chuẩn, ngành Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Việt) năm 2025 lấy 28.7 điểm.","| ma_nganh | ten_nganh | diem |
|---|---|---:|
| 7510303V | Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Việt) | 28.70 |","[""    ma_nganh                                                                        ten_nganh   diem\n0   7510303A            Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Anh)  25.75\n1  7510303BP  Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo tại phân hiệu Bình Phước)  25.45\n2   7510303V           Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Việt)  28.70""]",[],text2sql,26.499,0.245,1.0,0.9168453398326947
7,our_rag,Cho mình xin thông tin điểm chuẩn ngành Thiết kế đồ họa (CTĐT Tiếng Việt) năm 2024?,Điểm trúng tuyển của ngành Thiết kế đồ họa (CTĐT Tiếng Việt) trong kỳ tuyển sinh năm 2024 là 26.5 điểm.,"| ma_nganh | ten_nganh | nam | diem | khoa |
|---|---|---:|---:|---|
| 7210403V | Thiết kế đồ họa (CTĐT Tiếng Việt) | 2024 | 26.5 | KHOA IN VÀ TRUYỀN THÔNG |","[""   ma_nganh                          ten_nganh   nam  diem                     khoa\n0  7210403V  Thiết kế đồ họa (CTĐT Tiếng Việt)  2024  26.5  KHOA IN VÀ TRUYỀN THÔNG""]",[],text2sql,15.426,0.217,1.0,0.8155647943202684
8,our_rag,Ngành Kỹ thuật Thiết kế vi mạch (thuộc ngành CNKT Điện tử - viễn thông) (đào tạo bằng tiếng Việt) năm 2025 có điểm chuẩn là bao nhiêu?,Điểm trúng tuyển của chương trình đào tạo Kỹ thuật Thiết kế vi mạch năm 2025 là 28.65 điểm.,"| ten_nganh | ma_nganh | nam | diem | khoa |
|---|---|---|---:|---|
| Chương trình đào tạo Kỹ thuật Thiết kế vi mạch (thuộc ngành CNKT Điện tử - viễn thông) (đào tạo bằng tiếng Việt) | 7510302KTVM | 2025 | 28.65 | KHOA ĐIỆN - ĐIỆN TỬ |","[""                                                                                                          ten_nganh     ma_nganh   nam   diem                 khoa\n0  Chương trình đào tạo Kỹ thuật Thiết kế vi mạch (thuộc ngành CNKT Điện tử - viễn thông) (đào tạo bằng tiếng Việt)  7510302KTVM  2025  28.65  KHOA ĐIỆN - ĐIỆN TỬ""]",[],text2sql,15.684,0.337,1.0,0.8115269842679353
9,our_rag,Điểm chuẩn ngành Kinh doanh Quốc tế (đào tạo bằng tiếng Việt) năm 2025 là bao nhiêu?,"Theo thông tin từ nguồn dữ liệu, ngành Kinh doanh Quốc tế (đào tạo bằng tiếng Việt) năm 2025 có điểm chuẩn là 24.95 điểm.","| ma_nganh | ten_nganh                                              | diem  | khoa         |
|----------|---------------------------------------------------------|-------|--------------|
| 7340120V | Kinh doanh Quốc tế (đào tạo bằng tiếng Việt)            | 24.95 | KHOA KINH TẾ |","[""    ma_nganh                                              ten_nganh   diem          khoa\n0  7340120BP  Kinh doanh Quốc tế (đào tạo tại phân hiệu Bình Phước)  24.50  KHOA KINH TẾ\n1   7340120V           Kinh doanh Quốc tế (đào tạo bằng tiếng Việt)  24.95  KHOA KINH TẾ""]",[],text2sql,14.638,0.234,1.0,0.8035273274511253
